"id","idasientopre","cuando","ejemplo","nota"
"127","127","Cuando recibes una donación dineraria de un particular, fundación u organismo.","Donación de fundación: 5.000 €:
• A = 0 (donación capital 131) | B = 5.000
Resultado: entra banco 5.000 €, reserva por donación en patrimonio neto.","El tratamiento fiscal de las donaciones varía según el donante y el uso. Consulta con tu asesor fiscal."
"128","128","Cuando compras un teléfono móvil, tablet u otro dispositivo para la empresa cuyo precio supera ~300 €. Se activa como inmovilizado (cuenta 217) y se amortiza.","iPhone para comercial: 899 € + 188,79 € IVA:
• A = 0 (proveedor inmovilizado 523) | B = 899 | C = 188,79
Resultado: activo inmovilizado 899 €, IVA 188,79 €, deuda proveedor 1.087,79 €.","Amortiza cada año con el asiento #41 (equipos informáticos). Vida útil habitual: 4 años (25% anual). Si el precio es menor de 300 €, llévalo a gasto directo con el asiento #73."
"129","129","Si eres autónomo y trabajas desde casa. Solo puedes deducir la parte proporcional de la factura de energía correspondiente al espacio dedicado a la actividad (m² del despacho ÷ m² totales de la vivienda).","Factura luz: 200 € + 42 € IVA. Despacho ocupa el 20% de la vivienda. Deducible: 40 € + 8,40 € IVA:
• A = 001 (Iberdrola) | B = 40 (200 × 20%) | C = 8,40 (42 × 20%)
Resultado: gasto deducible 40 €, IVA deducible 8,40 €.","Criterio AEAT para autónomos en estimación directa:
Deducción = % m² del despacho × 30% del importe de la factura.

Ejemplo: vivienda 100 m², despacho 20 m² (20%). Factura luz 200 €.
Deducción = 20% × 30% = 6% → 200 × 6% = 12 € deducibles.

Nota: el porcentaje del 30% lo fija Hacienda como criterio orientativo. Puedes intentar deducir más si acreditas el uso exclusivo del espacio, pero puede ser objeto de discusión en una inspección."
"130","130","Cuando recibes la factura del operador de telecomunicaciones (Movistar, Vodafone, Orange...) con varios conceptos en el mismo recibo.","Factura Movistar: Fijo 15 € + Móvil 25 € + Fibra 40 € = 80 € base + 16,80 € IVA (21%) = 96,80 €:
• A = 001 (Movistar) | B = 15 | C = 25 | D = 40 | E = 16,80
Resultado: gastos por concepto 629 (fijo/móvil/fibra), IVA 16,80 €, deuda Movistar 96,80 €.","Autónomo con móvil de uso mixto: introduce en C solo el 50% de la cuota de móvil (12,50 € en el ejemplo)."
"131","131","Cuando el tipo de IVA del carburante está reducido al 10% por medidas gubernamentales temporales. Úsalo en lugar del asiento #91 mientras esté vigente.","Ticket gasolinera con IVA 10%: 59,40 € total. Base: 54 €. IVA 10%: 5,40 €:
• A = 0 (caja/banco) | B = 54 | C = 5,40
Resultado: gasto combustible 54 €, IVA deducible 5,40 €.","VIGENCIA TEMPORAL: Verifica en la web de la AEAT si esta reducción sigue en vigor en la fecha de la operación. Cuando el IVA vuelva al 21%, usa el asiento #91."
"132","132","Cuando recibes la factura de la luz (electricidad) y el tipo de IVA aplicado es el 10% reducido. Esto ocurre en suministros PVPC (Precio Voluntario para el Pequeño Consumidor) con potencia contratada igual o inferior a 10 kW.","Factura Endesa PVPC: 200 € base + 20 € IVA (10%) = 220 €
• A = 001 (terminación Endesa) | B = 200 | C = 20
Resultado: gasto suministro 200 €, IVA deducible 20 €, deuda 220 €.","¿CUÁNDO APLICA EL 10% EN ELECTRICIDAD?
• Contratos PVPC con potencia ≤ 10 kW para uso doméstico o pequeños negocios.
• Algunos contratos de mercado libre también pueden negociar este tipo según el uso.

Si tienes potencia contratada > 10 kW o contrato de mercado libre estándar, el IVA es el 21% → usa el asiento #17.

Ha habido reducciones temporales del IVA eléctrico (incluso al 5%) en los últimos años. Comprueba siempre el tipo en la factura y usa el IVA real que aparezca."
"133","133","Cuando tu empresa o tú como autónomo sois propietarios de un local, nave o inmueble y lo alquiláis a un tercero. Registra el ingreso mensual por arrendamiento.","Alquilas tu local a un comerciante: 1.200 € base + 252 € IVA (21%) = 1.452 €
• A = 001 (terminación inquilino 430) | B = 1.200 | C = 252
Resultado: ingreso alquiler 1.200 € (cuenta 752), IVA repercutido 252 €, derecho de cobro 1.452 €.","¿CUÁNDO LLEVA IVA EL ALQUILER?
• Alquiler a EMPRESA o PROFESIONAL para su actividad: SÍ lleva IVA 21%.
• Alquiler de VIVIENDA a particular para uso residencial: NO lleva IVA (exento).
• Alquiler a PARTICULAR para uso distinto del residencial (garaje, trastero…): SÍ lleva IVA.

¿CUÁNDO HAY RETENCIÓN IRPF?
• Si el arrendatario es empresa o profesional, él te practicará retención del 19% sobre la base. El neto que cobras = base × 81% + IVA. Registra esa retención como crédito en cuenta 473.

Este ingreso debe declararse en el modelo 303 (IVA) y en el IS o IRPF del ejercicio."
"134","134","Cuando alquilas un inmueble a una empresa o profesional que te practica la retención de IRPF del 19% al pagarte. Recibes menos dinero del que facturas.","Alquiler facturado: 1.200 € base + 252 € IVA. Retención 19% = 228 €. Cobras: 1.452 - 228 = 1.224 €
• A = 001 (inquilino 430) | B = 1.200 | C = 252 | R = 228
Resultado: cobras 1.224 €, crédito retención 228 € (cuenta 473), cancela derecho de cobro.","La retención del 19% la practica el arrendatario (quien paga el alquiler) y la ingresa a Hacienda trimestralmente en el modelo 115.

TÚ, COMO ARRENDADOR, debes declarar el importe bruto en tu IRPF o IS, y la retención te la descuentan del impuesto final a pagar.

CUENTA 473: acumula todas las retenciones que te practican durante el año. Al hacer la declaración anual, este saldo reduce el impuesto resultante."
"135","135","Cuando cierras la nómina de un empleado al que le habías dado un anticipo de nómina previamente (asiento #67). El anticipo se descuenta del neto a pagar.","Empleado con bruto 1.500 €, IRPF 150 €, SS trabajador 110 €. Anticipo previo de 300 €.
Neto sin anticipo = 1.240 €. Neto a transferir = 1.240 - 300 = 940 €
• D = 1.500 | L (líquido neto tras descontar anticipo) = 940 | R = 150 | C (coste empresa) = 1.950
Resultado: se cancela el anticipo (cuenta 460) y se paga solo el neto restante.","El anticipo (registrado con el asiento #67 en cuenta 460) se descuenta automáticamente al calcular el neto a pagar.

IMPORTANTE: el anticipo en cuenta 460 debe quedar con saldo CERO al final del mes una vez aplicada la nómina. Si no cuadra, revisa que el importe del anticipo en la variable L sea exactamente la diferencia entre el neto teórico y lo que le transferiste antes."
"136","136","Cuando usas gasoil de calefacción (gasóleo B o C) para calentar el local, nave o instalaciones de la empresa. Es distinto al gasoil de automoción (asiento #91).","Factura de gasóleo C para calefacción: 800 € base + 168 € IVA (21%) = 968 €
• A = 001 (terminación proveedor) | B = 800 | C = 168
Resultado: gasto suministro 800 €, IVA deducible 168 €, deuda con proveedor 968 €.","DIFERENCIA ENTRE TIPOS DE GASOIL:
• Gasóleo B (uso agrícola, calefacción): IVA 21%. Precio más bajo por bonificación en impuesto especial.
• Gasóleo C (calefacción): IVA 21%.
• Gasoil de automoción (vehículo de empresa): asiento #91.

DEDUCIBILIDAD: el gasto es 100% deducible si se usa exclusivamente para la actividad empresarial (calefacción del local). No es deducible si el local es también vivienda habitual (salvo proporción, como en el asiento #129)."
"137","137","Cuando compras productos con IVA superreducido del 4%: pan, leche, huevos, frutas, verduras, hortalizas, cereales, medicamentos de uso humano, libros, periódicos, revistas, material escolar.","Compra de pan y lácteos para una panadería-cafetería: 500 € base + 20 € IVA (4%) = 520 €
• A = 001 (terminación proveedor) | B = 500 | C = 20
Resultado: gasto compra 500 €, IVA deducible 20 €, deuda con proveedor 520 €.","PRODUCTOS AL 4% DE IVA (lista orientativa):
• Alimentación básica: pan común, harinas panificables, leche, quesos, huevos, frutas, verduras, hortalizas, cereales, aceites de oliva, pasta.
• Medicamentos de uso humano y productos farmacéuticos.
• Libros, periódicos y revistas (en papel; los digitales también desde 2025).
• Material escolar.
• Prótesis e implantes para personas con discapacidad.

NOTA: la clasificación de productos entre tipos de IVA puede cambiar con modificaciones legislativas. Consulta la tarifa vigente en la web de la AEAT ante cualquier duda."
"138","138","Cuando contratas una empresa de limpieza para el local, oficina o instalaciones de la empresa. También aplica para servicios de desinfección, control de plagas o mantenimiento de zonas comunes.","Factura empresa de limpieza: 300 € base + 63 € IVA (21%) = 363 €
• A = 001 (terminación empresa limpieza) | B = 300 | C = 63
Resultado: gasto servicios exteriores 300 € (cuenta 629), IVA deducible 63 €, deuda 363 €.","¿AUTÓNOMO CON EMPLEADO DE LIMPIEZA (persona física)?
Si contratas directamente a una persona física (no empresa), debes practicarle retención IRPF del 15% (o 7% primeros años). Usa el asiento #19 en ese caso.

INVERSIÓN DEL SUJETO PASIVO EN LIMPIEZA:
Si la empresa de limpieza es autónomo o empresa y la factura supera ciertos umbrales en el sector de servicios intensivos en mano de obra, puede aplicar la inversión del sujeto pasivo. Consulta con tu gestor si es tu caso."
"139","139","Cuando el local o nave de la empresa pertenece a una comunidad de propietarios y pagas la cuota mensual o derramas extraordinarias.","Cuota comunidad mensual: 120 €. Las cuotas de comunidad NO llevan IVA.
• A = 001 (terminación comunidad 410) | B = 120
Resultado: gasto 120 € (cuenta 629), deuda con la comunidad 120 €.","LAS CUOTAS DE COMUNIDAD NO LLEVAN IVA porque la comunidad de propietarios no es sujeto pasivo del IVA.

DERRAMAS EXTRAORDINARIAS:
Si la derrama es para una mejora del edificio (ascensor, fachada, cubierta…) que aumenta el valor del inmueble y tiene vida útil propia, puede considerarse inversión (activo). Consúltalo con tu gestor. Si es para reparación o mantenimiento, es gasto.

Si el local es en ALQUILER y la comunidad la paga el arrendador, no hagas este asiento; el gasto ya está incluido en el alquiler."
"140","140","Cuando asistes a cursos, talleres, congresos o cualquier formación relacionada directamente con tu actividad empresarial o profesional.","Curso de fiscal para autónomo: 450 € + 94,50 € IVA (21%) = 544,50 €
• A = 001 (terminación formadora) | B = 450 | C = 94,50
Resultado: gasto formación 450 € (cuenta 629), IVA deducible 94,50 €, deuda 544,50 €.","DEDUCIBILIDAD:
• Formación DIRECTAMENTE relacionada con la actividad: 100% deducible tanto en IS como en IRPF.
• Formación general (idiomas, ofimática básica): deducible si se justifica su utilidad para el negocio.
• Másteres y formación universitaria: deducibles si guardan relación directa con la actividad, aunque Hacienda puede discutirlo en inspección. Conserva documentación.

SI EL AUTÓNOMO TIENE EMPLEADOS:
La formación de los empleados va a la cuenta 649 (otros gastos sociales), no a 629."
"141","141","Cuando recibes la factura mensual de tu gestoría o asesoría y el emisor es una sociedad (SL, SA) o un profesional que NO aplica retención IRPF (en módulos o primeros años al 7%).","Factura mensual de la gestoría (SL): 150 € base + 31,50 € IVA (21%) = 181,50 €
• A = 001 (terminación gestoría) | B = 150 | C = 31,50
Resultado: gasto servicios profesionales 150 € (cuenta 623), IVA deducible 31,50 €, deuda 181,50 €.","DIFERENCIA CON EL ASIENTO #19:
• Gestoría constituida como SOCIEDAD (SL, SA): sin retención → este asiento #141.
• Gestoría como AUTÓNOMO persona física en estimación directa: con retención 15% → asiento #19.
• Autónomo en MÓDULOS: sin retención (lo indica en la factura) → este asiento #141.
• Autónomo primeros 3 años de actividad: puede aplicar retención reducida del 7% → asiento #19 con R = B × 0.07.

Siempre comprueba si la factura incluye o no retención IRPF."
"142","142","Cuando recibes la factura del suministro de agua del local o nave de la empresa. El agua tiene IVA reducido al 10%.","Factura de agua: 80 € base + 8 € IVA (10%) = 88 €
• A = 001 (terminación empresa agua) | B = 80 | C = 8
Resultado: gasto suministro 80 € (cuenta 628), IVA deducible 8 €, deuda 88 €.","TIPOS DE IVA EN AGUA:
• Suministro de agua para consumo doméstico o empresarial: 10% (tipo reducido).
• Canon de saneamiento / tasa de alcantarillado: normalmente NO lleva IVA (es una tasa municipal).
• Agua mineral embotellada para consumo (compra de garrafas para empleados): 10%.

AUTÓNOMOS EN VIVIENDA: si trabajas desde casa, solo deduces la parte proporcional al espacio de actividad → asiento #129."
"143","143","Cuando compras un ordenador, portátil, servidor u otro equipo informático de precio superior a ~300 € y vida útil mayor a un año. Se activa como inmovilizado en cuenta 217 y se amortiza cada año.","Portátil para la empresa: 1.200 € + 252 € IVA (21%) = 1.452 €
• A = 001 (terminación equipo 217) | B = 1.200 | C = 252
Resultado: activo inmovilizado 1.200 € (cuenta 217), IVA deducible 252 €, deuda 1.452 €.","ACTIVAR vs GASTO DIRECTO:
• Precio > ~300 € y vida útil > 1 año: ACTIVA como inmovilizado (este asiento). Luego amortiza con el asiento #41.
• Precio < ~300 € o vida útil corta: gasto directo con el asiento #73 (cuenta 629).

AMORTIZACIÓN (asiento #41):
Coeficiente máximo IS: 25% anual (vida mínima 4 años). Una vez registrada la compra aquí, recuerda hacer el asiento #41 cada ejercicio hasta que el equipo esté totalmente amortizado.

EQIPOS PARA USO MIXTO (empresa + personal): el IVA solo es deducible en la proporción de uso empresarial. Si es para uso exclusivo empresarial, IVA 100% deducible."
"144","144","Cuando pagas la cuota mensual de un contrato de renting de vehículo. En el renting, la empresa de renting conserva la propiedad; tú pagas por el uso. Toda la cuota es gasto, sin activar ningún bien.","Cuota mensual renting de vehículo: 400 € base + 84 € IVA (21%) = 484 €
• A = 001 (terminación empresa renting 410) | B = 400 | C = 84
Resultado: gasto arrendamiento 400 € (cuenta 621), IVA 84 €, deuda 484 €.","RENTING vs LEASING FINANCIERO:
• RENTING: NO se activa el bien. Toda la cuota va a gasto (cuenta 621). Sin opción de compra al final (o residual muy alto). Más sencillo contablemente → este asiento.
• LEASING FINANCIERO: se ACTIVA el bien en balance y se amortiza. Tiene opción de compra al final → asiento #60 y #61.

DEDUCIBILIDAD DEL IVA EN RENTING:
• Vehículo uso exclusivo empresarial: IVA 100% deducible.
• Vehículo uso mixto (turismo): IVA deducible al 50%. Introduce C = B × 0.21 × 0.50.

DEDUCIBILIDAD DEL GASTO EN IS:
La cuota de renting es gasto deducible en su totalidad, sin límite de amortización. Esta es una de sus ventajas fiscales frente al leasing."
"145","145","Cuando una administración pública (Ministerio, Comunidad Autónoma, Ayuntamiento, SEPE, CDTI…) te transfiere directamente el importe de una subvención concedida a tu cuenta bancaria.","Subvención del SEPE para contratación indefinida de 3.000 €:
• A = 0 (H.P. deudora 4708) | B = 3.000
Resultado: entra dinero en banco (572), cancela el crédito con Hacienda (4708) por la subvención pendiente de cobro.","TIPOS DE SUBVENCIÓN Y SU CONTABILIZACIÓN:
• Subvención de EXPLOTACIÓN (para cubrir gastos corrientes: nóminas, alquileres, suministros): ingreso del ejercicio, cuenta 740. Asiento #21.
• Subvención de CAPITAL (para comprar inmovilizado: maquinaria, vehículo, reforma…): patrimonio neto, cuenta 130. Se imputa gradualmente al resultado a medida que se amortiza el bien. Asiento #81.
• ESTE ASIENTO #145: registra el cobro efectivo de la subvención en el banco, independientemente del tipo.

TRIBUTACIÓN:
Las subvenciones son ingreso sujeto a IS o IRPF en el ejercicio en que se imputan. Consulta con tu gestor si la subvención puede fraccionarse fiscalmente."
"146","146","Trimestral. Pago fraccionado del IRPF para autónomos en ESTIMACIÓN OBJETIVA (módulos).

PLAZOS:
• 1T: del 1 al 20 de abril
• 2T: del 1 al 20 de julio
• 3T: del 1 al 20 de octubre
• 4T: del 1 al 30 de enero

IMPORTANTE: El modelo 131 es para MÓDULOS (estimación objetiva). Para estimación directa es el modelo 130 (asiento #8).","Cuota trimestral módulos 1T: 450 €
• A = 0 | B = 450
Resultado: pago fraccionado IRPF 450 € (cuenta 473), sale del banco.","¿QUIÉN PRESENTA EL 131?
• Autónomos en ESTIMACIÓN OBJETIVA (módulos): SÍ.
• Autónomos en estimación directa (normal o simplificada): NO. Presentan el 130.
• SL/SA: NO (presentan el 202).
• Comunidades de Bienes en módulos: la CB no presenta; los socios sí, cada uno el 131 en su proporción.

CÁLCULO:
Actividades empresariales (general, con asalariados): 4% del rendimiento resultante de aplicar los módulos.
Actividades empresariales (sin asalariados): 3%.
Actividades agrícolas, ganaderas y forestales: 2% del volumen de ingresos.

RESULTADO NEGATIVO O CERO: presenta igualmente declaración negativa.

FIN DE MÓDULOS: el régimen de módulos está prorrogado para 2026 pero el Gobierno estudia eliminarlo en próximos ejercicios. Consulta con tu gestor si te conviene pasarte a estimación directa."
"147","147","Trimestral. Cuando la empresa retiene e ingresa a Hacienda el 19% sobre dividendos pagados a socios o intereses pagados por préstamos de socios.

PLAZOS: mismos que el modelo 111 (del 1 al 20 de abril, julio, octubre y del 1 al 20 de enero).","Reparto de dividendos: 10.000 €. Retención 19% = 1.900 €.
• A = 0 | B = 1.900
Resultado: ingresa 1.900 € a Hacienda (modelo 123), cancela cuenta 4751.","¿QUIÉN PRESENTA EL 123?
• SL/SA que reparten dividendos a socios: SÍ, retención 19% sobre el bruto.
• Empresas que pagan intereses por préstamos de socios (cuenta corriente socio 551): SÍ, retención 19%.
• Entidades que pagan intereses de bonos u obligaciones: SÍ.
• Autónomos individuales que cobran dividendos: NO presentan el 123 (lo presenta la sociedad que reparte).

RESUMEN ANUAL: modelo 193 en enero (informativo, sin pago).

EL SOCIO: recibe el dividendo neto (81%) y declara el bruto en su IRPF/IS, con la retención como crédito fiscal."
"148","148","Anual. Al hacer la declaración de la renta (modelo 100) el autónomo regulariza el IRPF del año. Descuenta los pagos fraccionados del 130/131 y las retenciones soportadas del impuesto total.

PLAZO: del 2 de abril al 30 de junio del año siguiente.","IRPF anual a pagar: 8.000 €. Pagos fraccionados 130 realizados: 3.200 €. Retenciones soportadas (clientes): 600 €. A ingresar: 4.200 €.
• B = 3.200 (pagos 130) | C = 4.200 (diferencia a pagar)
Resultado: cancela cuenta 4730 (pagos fraccionados), paga 4.200 € a Hacienda.","SOLO PARA AUTÓNOMOS PERSONAS FÍSICAS (estimación directa o módulos).
SL/SA no presentan el modelo 100, presentan el 200 (asiento #24).

SI SALE A DEVOLVER:
El signo de C es negativo: Hacienda te ingresa la diferencia. Anota la devolución esperada en cuenta 4700 (H.P. deudora por devoluciones).

FRACCIONAMIENTO DEL PAGO:
Si el resultado es a pagar, puedes fraccionar en dos plazos: 60% al presentar y 40% en noviembre (modelo 102). No genera intereses.

RETENCIONES DE CLIENTES:
Las retenciones que te han practicado tus clientes (cuenta 473) también se descuentan de la cuota final."
"149","149","Mensual. Pago a la TGSS de las cuotas de Seguridad Social: la parte de la empresa más la parte del trabajador retenida en nómina.

FECHA DE CARGO: el último día del mes siguiente al devengo (ej. la SS de enero se paga el último día hábil de febrero).

USAR SIEMPRE DESPUÉS del asiento #1 (devengo nómina), que ya crea la deuda en cuenta 476.","SS empresa enero: 450 €. SS trabajador retenida: 110 €. Total a pagar TGSS: 560 €.
• A = 0 | B = 560
Resultado: cancela la deuda con la SS (476), sale dinero del banco (572).","¿QUÉ INCLUYE LA CUENTA 476?
La deuda con la TGSS acumulada del asiento #1:
• Cuota empresa (contingencias comunes + AT/EP + desempleo + FOGASA + formación + MEI)
• Cuota trabajador retenida en nómina (contingencias comunes + desempleo)

EL MEI EN 2025:
El Mecanismo de Equidad Intergeneracional sube al 0,80% sobre la base de cotización en 2025 (era 0,70% en 2024). Afecta tanto a la cuota empresa como a la del trabajador.

SI HAY VARIOS TRABAJADORES:
Usa un solo asiento con el total del recibo de liquidación de cotizaciones (RLC) que genera el Sistema RED.

AUTÓNOMOS CON EMPLEADOS:
También aplica este asiento para pagar la SS de sus empleados, que es independiente de su propia cuota al RETA (asientos #2 y #3)."
"150","150","Cuando un empleado está de baja médica (IT) y la empresa le paga el salario completo actuando como pagadora delegada de la SS.

DESDE EL DÍA 4 DE BAJA: la SS asume el pago (15% desde el día 4 al 20; 60% desde el día 21). La empresa adelanta el dinero al trabajador y luego lo recupera de la TGSS.","Empleado 20 días de baja. Salario bruto mes: 1.500 €. Días trabajados: 10 (bruto 500 €). Prestación SS a cargo TGSS: 700 €. IRPF: 150 €. SS empresa (solo días trabajados): 150 €.
• B=500 | C=150 | D=700 | E=neto | F=150 | G=...
Resultado: la empresa recupera D de la TGSS mediante la liquidación de cuotas.","DÍAS 1-3 DE BAJA:
A cargo exclusivo de la empresa. No hay prestación de la SS.

DÍAS 4-20:
Prestación del 60% de la base reguladora, a cargo de la TGSS. La empresa lo adelanta y lo compensa en el pago de cuotas.

DESDE EL DÍA 21:
Prestación del 75% de la base reguladora, a cargo de la TGSS.

CUENTA 471 (SS DEUDORA):
Registra el importe que la TGSS debe reintegrarte. Se cancela al liquidar las cotizaciones mensuales, compensando lo que te deben con lo que tú les pagas.

CONVENIO COLECTIVO:
Muchos convenios obligan a complementar hasta el 100% del salario. La parte que complementa la empresa es gasto (cuenta 640), no recuperable de la SS."
"151","151","Durante un ERTE de suspensión, el trabajador NO trabaja durante el periodo suspendido. El SEPE le paga directamente la prestación por desempleo. La empresa solo registra los días efectivamente trabajados (si los hay) y las cotizaciones exoneradas.","Empleado con ERTE total (mes completo suspendido):
• La empresa NO paga nada al empleado ese mes.
• El SEPE paga directamente la prestación (el 70% de la base reguladora los primeros 6 meses).
• La empresa puede tener exoneración parcial o total de cuotas SS según el tipo de ERTE.","LO QUE HACE LA EMPRESA EN UN ERTE TOTAL:
• No registra nómina del periodo suspendido (el SEPE paga directamente).
• Puede disfrutar de EXONERACIÓN de cuotas SS: en ERTE por fuerza mayor, la empresa queda exonerada del pago de cuotas (la SS las considera igualmente cotizadas para el trabajador).
• Debe comunicar mensualmente al SEPE los datos de los trabajadores en ERTE (formulario específico).

ERTE PARCIAL (reducción de jornada):
La empresa paga el salario de las horas trabajadas y el SEPE paga la prestación por las horas suspendidas. Usa este asiento solo por las horas trabajadas.

FIN DEL ERTE:
Cuando el trabajador se reincorpora, vuelves al asiento normal #1."
"152","152","Cuando compras mercancías a un proveedor de fuera de la Unión Europea (China, USA, Reino Unido post-Brexit, etc.). La aduana liquida el IVA español al entrar la mercancía en territorio español.","Compra de electrónica a proveedor chino: mercancía 3.000 € + arancel 300 € + flete 200 € = base 3.500 €. IVA aduana 21% = 735 €.
• A = 0 | B = 3.500 | C = 735
Resultado: compra 3.500 €, IVA deducible 735 €, deuda proveedor 3.500 €, deuda aduana 735 €.","DIFERENCIAS CON ADQUISICIÓN INTRACOMUNITARIA (asiento #31):
• UE: autorepercusión (tú mismo calculas el IVA, no hay pago real a la aduana).
• No-UE (importación): la aduana liquida el IVA y debes pagarlo antes de retirar la mercancía.

BASE IMPONIBLE EN IMPORTACIÓN:
No es solo el precio de factura. Incluye: precio mercancía + seguro + flete hasta la frontera UE + aranceles (DUA). Todo ello forma la base sobre la que se aplica el IVA.

PAGO DEL IVA A LA ADUANA:
Puedes aplazarlo si tienes autorización de la AEAT (diferimiento del IVA a la importación). En ese caso se declara directamente en el modelo 303 sin pago previo a la aduana.

MODELO 303: declara el IVA de importación como IVA devengado y también como IVA deducible (si el bien está afecto a la actividad), resultando neutro si tienes plena deducción."
"153","153","Cuando destinas al uso personal (tuyo o de tu familia) un bien que la empresa adquirió deduciéndose el IVA. La Ley del IVA obliga a repercutir el IVA sobre el valor del bien como si fuera una venta.","Ordenador de empresa (valor neto contable 800 €) que el autónomo se lleva a casa para uso personal. IVA 21% = 168 €.
• A = 0 | B = 168 | C = 800
Resultado: IVA repercutido 168 € (como si lo vendieras), gasto 800 €.","¿CUÁNDO SE PRODUCE AUTOCONSUMO?
• Un bien adquirido con IVA deducido se destina a uso privado.
• Se regala a un empleado o tercero (salvo atenciones a clientes con límite).
• Se incorpora al activo fijo desde el circulante.
• La empresa cesa la actividad y queda con existencias o bienes de inversión.

VALOR DEL AUTOCONSUMO:
El IVA se calcula sobre el valor de mercado del bien (o coste si no hay precio de mercado).

EXCEPCIÓN — MUESTRAS Y REGALOS:
Las muestras y objetos publicitarios de escaso valor (hasta 200 € por destinatario y año) NO constituyen autoconsumo.

AUTÓNOMOS:
Si al darte de baja tienes existencias o inmovilizado con IVA deducido, debes hacer el autoconsumo al cesar la actividad."
"154","154","Al cierre del ejercicio, cuando la prorrata definitiva de IVA difiere de la prorrata provisional aplicada durante el año. Obliga a ajustar el IVA soportado deducido.

FECHA: en la última declaración del año (4T, modelo 303 de enero).","Prorrata provisional usada el año: 70%. Prorrata definitiva calculada: 75%.
IVA soportado del año: 10.000 €. Diferencia: (75%-70%) × 10.000 € = 500 € adicionales deducibles.
• B = 500 (ajuste positivo)
Resultado: deduces 500 € más de IVA, aumenta cuenta 472.","¿QUIÉN APLICA LA PRORRATA?
Empresas y autónomos que realizan simultáneamente:
• Operaciones CON derecho a deducción de IVA (ventas sujetas y no exentas)
• Operaciones SIN derecho a deducción (ventas exentas: seguros, servicios médicos, arrendamientos de vivienda, operaciones financieras...)

CÁLCULO DE LA PRORRATA:
Prorrata = (Ventas con derecho a deducción / Total ventas) × 100
Se redondea al entero superior.

SI LA DIFERENCIA ES NEGATIVA:
La prorrata definitiva es menor que la provisional → has deducido de más → debes devolver el exceso. El signo de B es negativo (reduce cuenta 472).

SECTORES DIFERENCIADOS:
Si realizas actividades con porcentajes de prorrata muy distintos, puedes solicitar a la AEAT aplicar la prorrata especial (deducción por sectores diferenciados)."
"155","155","Cuando estás acogido al Régimen Especial de Criterio de Caja (RECC) y emites una factura. El IVA NO se devenga hasta el cobro efectivo (o hasta el 31 de diciembre del año siguiente si no cobras antes).

EL RECC es voluntario. Para acogerse se comunica en el modelo 036 en diciembre del año anterior.","Factura emitida en criterio de caja: base 1.000 € + IVA 21% 210 € = total 1.210 €.
• A = 001 | B = 1.000 | C = 210 | Z = 1.210
Resultado: derecho de cobro 1.210 € (cuenta 4305), IVA pendiente en cuenta 4777 (no va al 477 aún).","DIFERENCIA CON EL RÉGIMEN GENERAL:
• Régimen general: el IVA se devenga al emitir la factura (cuenta 477).
• RECC: el IVA se devenga al cobrar (cuenta 4777 → 477 al cobro).

¿QUIÉN PUEDE ACOGERSE?
Autónomos y empresas con volumen de operaciones ≤ 2.000.000 € en el año anterior.

AL COBRAR LA FACTURA:
Trasladas el IVA de la cuenta 4777 (pendiente) a la 477 (devengado). A partir de ese momento se incluye en el modelo 303.

FECHA LÍMITE:
Si no cobras antes del 31 de diciembre del año siguiente, el IVA se devenga igualmente en esa fecha.

EFECTO EN EL PROVEEDOR:
Tu cliente, si no está en RECC, tampoco puede deducirse tu IVA hasta que te pague."
"156","156","Cuando cobras una factura emitida en criterio de caja. En ese momento el IVA se devenga y pasa de la cuenta 4777 (pendiente) a la 477 (devengado), incluyéndose en el modelo 303 del trimestre en que se cobra.","Cobro de factura RECC: 1.210 € (base 1.000 € + IVA 210 €).
• A = 001 | B = 1.210 | C = 210
Resultado: entra dinero en banco, se devenga el IVA (477), se cancela el cliente RECC.","COBRO PARCIAL:
Si solo cobras parte de la factura, el IVA devengado es proporcional.
Ej: cobras 605 € (50% de 1.210 €) → IVA devengado = 105 € (50% de 210 €).

COBRO EN VARIAS VECES:
Haz un asiento por cada cobro parcial, prorrateando el IVA en cada uno.

FECHA LÍMITE (31 diciembre año siguiente):
Si el 31/12 del año siguiente no has cobrado, usa este mismo asiento con fecha 31/12 para devengar el IVA obligatoriamente."
"157","157","Al cierre del ejercicio, cuando existe una diferencia temporaria DEDUCIBLE: el gasto es contable este año pero no fiscalmente deducible hasta un año futuro (ej: provisión por litigio, deterioro de créditos no vencidos 6 meses).","Provisión por litigio dotada contablemente: 4.000 €. No deducible en IS este año. Tipo IS 25%.
Activo diferido = 4.000 × 25% = 1.000 €.
• A = 0 | B = 1.000
Resultado: activo DTA 1.000 € (cuenta 4740), ingreso impuesto diferido 1.000 € (6301).","¿CUÁNDO SE GENERA UN ACTIVO POR IMPUESTO DIFERIDO?
• Provisiones contabilizadas pero no deducibles fiscalmente hasta cumplirse condiciones (6 meses vencimiento, concurso...).
• Deterioros de activos no deducibles aún.
• Gastos activados fiscalmente en ejercicios futuros.
• Bases imponibles negativas (BINs) pendientes de compensar → cuenta 4745.

REVERSIÓN:
Cuando el gasto se vuelve deducible fiscalmente, revierte el DTA:
4740 haber / 6301 debe (gasto impuesto diferido).

LÍMITE DE ACTIVACIÓN:
Solo se activa si es probable que haya suficientes ganancias futuras para compensarlo. Si no es probable, no se activa."
